game_pk,season,official_date,game_date,game_type,away_team_id,away_team,away_score,home_team_id,home_team,home_score,home_win,total_runs,run_diff_home
778502,2025,2025-03-31,2025-03-31,R,115,Colorado Rockies,1,143,Philadelphia Phillies,6,1,7,5
778503,2025,2025-03-31,2025-03-31,R,108,Los Angeles Angels,5,138,St. Louis Cardinals,4,0,9,-1
778504,2025,2025-03-31,2025-03-31,R,118,Kansas City Royals,11,158,Milwaukee Brewers,1,0,12,-10
778505,2025,2025-03-31,2025-03-31,R,137,San Francisco Giants,7,117,Houston Astros,2,0,9,-5
778506,2025,2025-03-31,2025-03-31,R,142,Minnesota Twins,0,145,Chicago White Sox,9,1,9,9
778507,2025,2025-03-31,2025-03-31,R,120,Washington Nationals,2,141,Toronto Blue Jays,5,1,7,3
778508,2025,2025-03-31,2025-03-31,R,134,Pittsburgh Pirates,1,139,Tampa Bay Rays,6,1,7,5
778509,2025,2025-03-31,2025-03-31,R,121,New York Mets,10,146,Miami Marlins,4,0,14,-6
778511,2025,2025-03-31,2025-03-31,R,140,Texas Rangers,3,113,Cincinnati Reds,14,1,17,11
778512,2025,2025-03-31,2025-03-31,R,111,Boston Red Sox,5,110,Baltimore Orioles,8,1,13,3
778485,2025,2025-04-01,2025-04-01,R,114,Cleveland Guardians,0,135,San Diego Padres,7,1,7,7
778486,2025,2025-04-01,2025-04-01,R,116,Detroit Tigers,4,136,Seattle Mariners,1,0,5,-3
778487,2025,2025-04-01,2025-04-01,R,144,Atlanta Braves,1,119,Los Angeles Dodgers,3,1,4,2
778488,2025,2025-04-01,2025-04-01,R,118,Kansas City Royals,0,158,Milwaukee Brewers,5,1,5,5
778489,2025,2025-04-01,2025-04-01,R,137,San Francisco Giants,3,117,Houston Astros,1,0,4,-2
778490,2025,2025-04-01,2025-04-01,R,142,Minnesota Twins,8,145,Chicago White Sox,3,0,11,-5
778491,2025,2025-04-01,2025-04-01,R,120,Washington Nationals,3,141,Toronto Blue Jays,5,1,8,2
778492,2025,2025-04-01,2025-04-01,R,109,Arizona Diamondbacks,7,147,New York Yankees,5,0,12,-2
778493,2025,2025-04-01,2025-04-01,R,134,Pittsburgh Pirates,0,139,Tampa Bay Rays,7,1,7,7
778494,2025,2025-04-01,2025-04-01,R,112,Chicago Cubs,7,133,Athletics,4,0,11,-3
778495,2025,2025-04-01,2025-04-01,R,108,Los Angeles Angels,9,138,St. Louis Cardinals,7,0,16,-2
778497,2025,2025-04-01,2025-04-01,R,121,New York Mets,2,146,Miami Marlins,4,1,6,2
778498,2025,2025-04-01,2025-04-01,R,140,Texas Rangers,1,113,Cincinnati Reds,0,0,1,-1
778469,2025,2025-04-02,2025-04-02,R,116,Detroit Tigers,2,136,Seattle Mariners,3,1,5,1
778471,2025,2025-04-02,2025-04-02,R,112,Chicago Cubs,10,133,Athletics,2,0,12,-8
778472,2025,2025-04-02,2025-04-02,R,144,Atlanta Braves,5,119,Los Angeles Dodgers,6,1,11,1
778473,2025,2025-04-02,2025-04-02,R,108,Los Angeles Angels,5,138,St. Louis Cardinals,12,1,17,7
778474,2025,2025-04-02,2025-04-02,R,142,Minnesota Twins,6,145,Chicago White Sox,1,0,7,-5
778475,2025,2025-04-02,2025-04-02,R,137,San Francisco Giants,6,117,Houston Astros,3,0,9,-3
778476,2025,2025-04-02,2025-04-02,R,114,Cleveland Guardians,2,135,San Diego Padres,5,1,7,3
778477,2025,2025-04-02,2025-04-02,R,118,Kansas City Royals,2,158,Milwaukee Brewers,3,1,5,1
778478,2025,2025-04-02,2025-04-02,R,120,Washington Nationals,2,141,Toronto Blue Jays,4,1,6,2
778479,2025,2025-04-02,2025-04-02,R,134,Pittsburgh Pirates,4,139,Tampa Bay Rays,2,0,6,-2
778480,2025,2025-04-02,2025-04-02,R,140,Texas Rangers,1,113,Cincinnati Reds,0,0,1,-1
778481,2025,2025-04-02,2025-04-02,R,121,New York Mets,6,146,Miami Marlins,5,0,11,-1
778482,2025,2025-04-02,2025-04-02,R,115,Colorado Rockies,1,143,Philadelphia Phillies,5,1,6,4
778483,2025,2025-04-02,2025-04-02,R,111,Boston Red Sox,3,110,Baltimore Orioles,0,0,3,-3
778484,2025,2025-04-02,2025-04-02,R,109,Arizona Diamondbacks,4,147,New York Yankees,3,0,7,-1
778462,2025,2025-04-03,2025-04-03,R,117,Houston Astros,5,142,Minnesota Twins,2,0,7,-3
778466,2025,2025-04-03,2025-04-03,R,109,Arizona Diamondbacks,7,147,New York Yankees,9,1,16,2
778467,2025,2025-04-03,2025-04-03,R,115,Colorado Rockies,1,143,Philadelphia Phillies,3,1,4,2
778468,2025,2025-04-03,2025-04-03,R,113,Cincinnati Reds,0,158,Milwaukee Brewers,1,1,1,1
778470,2025,2025-04-03,2025-04-03,R,111,Boston Red Sox,8,110,Baltimore Orioles,4,0,12,-4
778444,2025,2025-04-04,2025-04-04,R,136,Seattle Mariners,9,137,San Francisco Giants,10,1,19,1
778447,2025,2025-04-04,2025-04-04,R,114,Cleveland Guardians,8,108,Los Angeles Angels,6,0,14,-2
778453,2025,2025-04-04,2025-04-04,R,113,Cincinnati Reds,2,158,Milwaukee Brewers,3,1,5,1
778454,2025,2025-04-04,2025-04-04,R,139,Tampa Bay Rays,2,140,Texas Rangers,5,1,7,3
778455,2025,2025-04-04,2025-04-04,R,110,Baltimore Orioles,2,118,Kansas City Royals,8,1,10,6
