"last_name, first_name",player_id,year,k_percent,bb_percent,xwoba,xera,xba,whiff_percent,exit_velocity_avg,barrel_batted_rate,p_formatted_ip,p_game,pa
"Kikuchi, Yusei",579328,2023,25.9,6.9,0.318,4.27,0.244,28.0,90.5,9.0,167.2,32,700
"Keller, Mitch",656605,2023,25.5,6.7,0.315,4.18,0.248,23.2,87.7,8.6,194.1,32,825
"Peralta, Freddy",642547,2023,30.9,7.9,0.284,3.35,0.211,33.6,87.6,8.6,165.2,30,680
"Bieber, Shane",669456,2023,20.1,6.4,0.338,4.9,0.28,24.3,91.6,7.8,128.0,21,533
"Ober, Bailey",641927,2023,25.3,5.0,0.293,3.58,0.222,28.7,88.2,9.6,144.1,26,577
"Berríos, José",621244,2023,23.5,6.6,0.326,4.51,0.257,25.5,88.2,8.6,189.2,32,782
"Williamson, Brandon",682227,2023,20.0,7.9,0.334,4.77,0.26,22.1,90.1,8.2,117.0,23,491
"Clevinger, Mike",605182,2023,20.0,7.3,0.313,4.13,0.236,23.2,88.1,7.2,131.1,24,549
"Wacha, Michael",608379,2023,22.4,7.8,0.319,4.3,0.246,24.6,88.1,7.3,134.1,24,553
"Flaherty, Jack",656427,2023,22.8,10.2,0.343,5.06,0.267,26.6,87.9,7.3,144.1,29,650
"Gray, Josiah",680686,2023,20.5,11.5,0.342,5.03,0.25,26.2,87.6,9.5,159.0,30,698
"Walker, Taijuan",592836,2023,18.8,9.7,0.322,4.39,0.245,20.5,89.1,6.8,172.2,31,733
"Wells, Tyler",669330,2023,24.9,7.2,0.306,3.93,0.212,26.4,89.0,11.7,118.2,25,470
"Gonsolin, Tony",664062,2023,18.9,9.2,0.365,5.85,0.268,21.5,90.2,11.4,103.0,20,435
"Pivetta, Nick",601713,2023,31.2,8.5,0.309,4.01,0.218,29.6,90.5,11.8,142.2,38,587
"Corbin, Patrick",571578,2023,15.7,7.2,0.372,6.12,0.298,21.4,90.7,9.3,180.0,32,790
"Wheeler, Zack",554430,2023,26.9,5.0,0.278,3.21,0.227,28.6,86.9,5.1,192.0,32,787
"Webb, Logan",657277,2023,22.8,3.6,0.295,3.63,0.251,20.8,90.7,7.0,216.0,33,850
"Weaver, Luke",596133,2023,19.4,7.1,0.358,5.59,0.282,21.6,89.3,9.8,123.2,29,563
"Blackburn, Paul",621112,2023,22.4,9.3,0.325,4.48,0.259,23.8,87.2,5.8,103.2,21,464
"Lorenzen, Michael",547179,2023,17.8,7.5,0.325,4.48,0.253,21.7,90.0,8.0,153.0,29,624
"Kelly, Merrill",518876,2023,25.9,9.4,0.313,4.13,0.24,27.0,89.6,7.8,177.2,30,721
"Montgomery, Jordan",656756,2023,21.4,6.2,0.308,3.98,0.249,26.0,88.3,7.5,188.2,32,777
"Gore, MacKenzie",669022,2023,25.9,9.8,0.347,5.2,0.256,27.9,89.9,12.1,136.1,27,582
"Peterson, David",656849,2023,26.0,10.2,0.339,4.93,0.26,29.5,90.0,8.1,111.0,27,492
"Oviedo, Johan",670912,2023,20.2,10.6,0.33,4.64,0.245,26.0,88.6,7.6,177.2,32,781
"Canning, Griffin",656288,2023,25.9,6.7,0.308,3.98,0.233,29.1,91.0,10.3,127.0,24,536
"King, Michael",650633,2023,29.5,7.4,0.29,3.5,0.225,29.4,86.8,7.1,104.2,49,431
"Gallen, Zac",668678,2023,26.0,5.6,0.315,4.18,0.25,26.4,91.5,9.2,210.0,34,846
"Dunning, Dane",641540,2023,19.4,7.6,0.325,4.48,0.258,22.3,88.8,7.5,172.2,35,722
"Gilbert, Logan",669302,2023,24.5,4.7,0.295,3.63,0.238,26.4,90.5,9.0,190.2,32,770
"Luzardo, Jesús",666200,2023,28.1,7.4,0.307,3.96,0.23,31.4,89.5,9.6,178.2,32,741
"Ohtani, Shohei",660271,2023,31.5,10.4,0.3,3.77,0.201,30.8,86.4,10.1,132.0,23,531
"Heaney, Andrew",571760,2023,23.6,9.4,0.327,4.55,0.234,26.5,90.1,10.3,147.1,34,641
"Miley, Wade",489119,2023,16.1,7.8,0.319,4.3,0.249,19.1,87.3,7.6,120.1,23,490
"Kirby, George",669923,2023,22.7,2.5,0.305,3.9,0.258,22.9,89.2,7.5,190.2,31,757
"Rodriguez, Eduardo",593958,2023,23.0,7.7,0.311,4.07,0.243,23.8,88.6,7.8,152.2,26,621
"Flexen, Chris",623167,2023,15.9,8.2,0.372,6.12,0.292,22.3,89.4,9.4,102.1,29,466
"Irvin, Jake",663623,2023,18.7,10.2,0.344,5.1,0.254,17.9,90.4,10.3,121.0,24,530
"Gray, Jon",592351,2023,21.6,8.2,0.325,4.48,0.256,26.4,89.4,6.4,157.1,29,656
"Scherzer, Max",453286,2023,28.0,7.2,0.283,3.33,0.203,28.6,88.5,8.5,152.2,27,621
"Mikolas, Miles",571945,2023,15.9,4.5,0.355,5.48,0.286,16.7,90.4,9.8,201.1,35,860
"Gibson, Kyle",502043,2023,19.5,6.8,0.333,4.73,0.264,25.4,89.7,7.6,192.0,33,807
"Javier, Cristian",664299,2023,23.1,9.0,0.325,4.48,0.228,27.1,89.1,9.4,162.0,31,687
"Lynn, Lance",458681,2023,23.6,8.3,0.336,4.83,0.247,28.8,88.7,10.4,183.2,32,808
"Steele, Justin",657006,2023,24.6,5.0,0.291,3.53,0.247,24.0,87.8,5.4,173.1,30,716
"Schmidt, Clarke",657376,2023,21.5,6.6,0.32,4.33,0.252,22.8,89.2,7.6,159.0,33,694
"Kremer, Dean",665152,2023,21.4,7.5,0.338,4.9,0.264,24.0,89.7,8.9,172.2,32,735
"Castillo, Luis",622491,2023,27.3,7.0,0.302,3.82,0.226,30.6,90.0,9.4,197.0,33,802
"Suarez, Ranger",624133,2023,22.0,8.9,0.322,4.39,0.257,23.1,87.8,7.5,125.0,22,540
"Bello, Brayan",678394,2023,19.8,6.7,0.316,4.21,0.25,24.4,89.5,7.0,157.0,28,668
"Miller, Bobby",676272,2023,23.6,6.3,0.288,3.45,0.227,26.8,88.3,6.0,124.1,22,505
"Megill, Tylor",656731,2023,18.5,10.2,0.365,5.85,0.278,23.4,89.8,9.1,126.1,25,567
"Rodriguez, Grayson",680570,2023,25.0,8.2,0.317,4.24,0.251,26.3,89.8,7.3,122.0,23,515
"Waldichuk, Ken",686610,2023,20.7,11.1,0.332,4.7,0.239,25.1,88.3,7.7,141.0,35,639
"Elder, Bryce",693821,2023,17.5,8.6,0.327,4.55,0.258,23.6,89.9,6.0,174.2,31,732
"Garrett, Braxton",666129,2023,23.7,4.4,0.328,4.58,0.271,25.4,90.2,7.8,159.0,31,659
"Gomber, Austin",596295,2023,14.4,7.1,0.363,5.77,0.289,19.1,90.5,9.0,139.0,27,603
"Hendricks, Kyle",543294,2023,16.1,4.7,0.314,4.16,0.266,21.1,85.2,6.2,137.0,24,578
"Kershaw, Clayton",477132,2023,26.2,7.6,0.298,3.71,0.227,28.1,89.0,9.0,131.2,24,523
"Matz, Steven",571927,2023,21.8,7.1,0.306,3.93,0.25,25.3,89.1,4.7,105.0,25,449
"Germán, Domingo",593334,2023,25.7,7.7,0.32,4.33,0.235,30.3,88.3,9.7,108.2,20,444
"Valdez, Framber",664285,2023,24.8,7.1,0.319,4.3,0.248,26.8,91.5,8.0,198.0,31,808
"Darvish, Yu",506433,2023,24.6,7.3,0.302,3.82,0.239,25.1,88.4,6.8,136.1,24,573
"López, Pablo",641154,2023,29.2,6.0,0.27,3.02,0.213,30.3,87.1,6.3,194.0,32,801
"Rea, Colin",607067,2023,21.3,7.4,0.323,4.42,0.25,24.0,90.4,7.7,124.2,26,517
"Lyles, Jordan",543475,2023,16.0,6.0,0.338,4.9,0.26,20.1,89.0,9.9,177.2,31,748
"Bradish, Kyle",680694,2023,25.0,6.6,0.3,3.77,0.235,26.0,90.0,6.9,168.2,30,671
"Pérez, Martín",527048,2023,15.3,8.1,0.336,4.83,0.267,17.5,89.0,7.6,141.2,35,608
"Houser, Adrian",605288,2023,20.0,7.1,0.316,4.21,0.258,18.7,90.5,7.1,111.1,23,481
"Nelson, Ryne",669194,2023,15.5,7.4,0.349,5.27,0.263,20.3,90.8,11.6,144.0,29,619
"Bradley, Taj",671737,2023,28.0,8.5,0.323,4.42,0.238,25.0,91.2,10.7,104.2,23,460
"Singer, Brady",663903,2023,18.9,7.0,0.339,4.93,0.271,22.7,91.0,7.9,159.2,29,702
"Cole, Gerrit",543037,2023,27.0,5.8,0.288,3.45,0.229,26.2,89.2,7.6,209.0,33,821
"Bibee, Tanner",676440,2023,24.1,7.7,0.298,3.71,0.232,26.3,88.9,6.1,142.0,25,585
"Verlander, Justin",434378,2023,21.5,6.7,0.295,3.63,0.225,22.5,90.0,8.2,162.1,27,669
"Glasnow, Tyler",607192,2023,33.4,7.6,0.292,3.55,0.213,35.4,90.4,11.7,120.0,21,485
"Sale, Chris",519242,2023,29.4,6.8,0.296,3.66,0.208,29.7,87.9,8.4,102.2,20,425
"Wentz, Joey",666214,2023,19.9,9.6,0.362,5.74,0.271,25.5,89.9,11.5,105.2,25,492
"Morton, Charlie",450203,2023,25.6,11.6,0.33,4.64,0.244,32.2,88.9,7.8,163.1,30,716
"Greene, Hunter",668881,2023,30.5,9.6,0.303,3.85,0.213,30.7,90.1,9.0,112.0,22,498
"Abbott, Andrew",671096,2023,26.1,9.6,0.306,3.93,0.223,25.6,91.2,9.2,109.1,21,459
"Ashcraft, Graham",668933,2023,17.8,8.3,0.339,4.93,0.268,22.3,88.4,6.9,145.2,26,624
"Gray, Sonny",543243,2023,24.3,7.3,0.297,3.69,0.24,26.1,89.1,6.9,184.0,32,754
"Burnes, Corbin",669203,2023,25.5,8.4,0.287,3.43,0.221,28.8,86.4,5.3,193.2,32,784
"Assad, Javier",665871,2023,20.9,9.1,0.33,4.64,0.255,20.8,87.6,9.0,109.1,32,449
"Miller, Bryce",682243,2023,22.2,4.8,0.337,4.86,0.264,24.3,90.7,10.9,131.1,25,537
"Kopech, Michael",656629,2023,22.7,15.4,0.363,5.77,0.236,26.9,90.3,12.7,129.1,30,591
"Lugo, Seth",607625,2023,23.2,6.0,0.323,4.42,0.256,21.9,90.7,9.7,146.1,26,604
"Civale, Aaron",650644,2023,23.0,6.5,0.299,3.74,0.24,22.7,89.0,6.6,122.1,23,504
"Ryan, Joe",657746,2023,29.3,5.1,0.292,3.55,0.22,26.8,90.0,8.7,161.2,29,672
"Houck, Tanner",656557,2023,21.4,8.9,0.315,4.18,0.24,28.8,90.2,6.6,106.0,21,463
"Cease, Dylan",656302,2023,27.3,10.1,0.314,4.16,0.238,31.0,90.0,6.2,177.0,33,784
"Anderson, Tyler",542881,2023,18.9,10.2,0.339,4.93,0.255,27.8,87.0,8.2,141.0,27,629
"Williams, Trevor",592866,2023,16.9,7.9,0.358,5.59,0.275,19.0,88.3,10.3,144.1,30,658
"Olson, Reese",681857,2023,24.4,7.8,0.333,4.73,0.251,27.4,90.8,10.9,103.2,21,422
"Strider, Spencer",675911,2023,36.8,7.6,0.273,3.09,0.202,38.6,88.5,8.2,186.2,32,763
"Crawford, Kutter",676710,2023,25.6,6.8,0.281,3.28,0.205,26.8,87.8,7.7,129.1,31,527
"McClanahan, Shane",663556,2023,25.8,8.7,0.312,4.1,0.238,33.5,89.7,9.8,115.0,21,469
"Alcantara, Sandy",645261,2023,19.8,6.3,0.319,4.3,0.26,25.4,88.8,7.0,184.2,28,762
"Urías, Julio",628711,2023,24.3,5.0,0.315,4.18,0.245,24.2,87.2,8.7,117.1,21,482
"Senga, Kodai",673540,2023,29.1,11.1,0.305,3.9,0.222,29.7,89.0,6.9,166.1,29,694
"Cobb, Alex",502171,2023,20.3,5.7,0.333,4.73,0.273,21.7,89.8,7.0,151.1,28,646
"Brown, Hunter",686613,2023,26.8,8.3,0.318,4.27,0.235,24.8,90.8,10.9,155.2,31,665
"Detmers, Reid",672282,2023,26.1,9.3,0.327,4.55,0.25,27.1,89.8,6.2,148.2,28,644
