"last_name, first_name",player_id,year,k_percent,bb_percent,xwoba,xera,xba,whiff_percent,exit_velocity_avg,barrel_batted_rate,p_formatted_ip,p_game,pa
"Eflin, Zach",621107,2023,26.5,3.4,0.27,3.02,0.217,24.1,87.5,9.0,177.2,31,703
"Taillon, Jameson",592791,2023,21.4,6.3,0.333,4.73,0.255,22.0,88.3,10.7,154.1,30,655
"Giolito, Lucas",608337,2023,25.7,9.2,0.329,4.61,0.236,28.8,89.2,11.0,184.1,33,794
"Snell, Blake",605483,2023,31.5,13.3,0.3,3.77,0.205,37.3,87.2,7.5,180.0,32,742
"Greinke, Zack",425844,2023,16.4,3.9,0.344,5.1,0.286,17.3,89.6,7.7,142.1,30,593
"Martinez, Nick",607259,2023,23.0,8.7,0.308,3.98,0.242,28.6,84.7,7.1,110.1,63,461
"Eovaldi, Nathan",543135,2023,22.9,8.1,0.307,3.96,0.232,26.4,88.9,7.9,144.0,25,577
"Medina, Luis",665622,2023,21.4,11.5,0.336,4.83,0.25,24.5,89.3,6.2,109.2,23,495
"Stroman, Marcus",573186,2023,20.7,9.0,0.318,4.27,0.261,22.4,90.3,5.0,136.2,27,575
"Manaea, Sean",640455,2023,25.7,8.4,0.313,4.13,0.238,24.2,89.4,8.8,117.2,37,499
"Sandoval, Patrick",663776,2023,19.6,11.3,0.331,4.67,0.256,27.7,87.6,7.0,144.2,28,652
"Sears, JP",676664,2023,21.9,7.2,0.332,4.7,0.242,24.8,88.6,11.1,172.1,32,735
"Nola, Aaron",605400,2023,25.5,5.7,0.297,3.69,0.235,26.0,89.3,8.3,193.2,32,793
"Smyly, Drew",592767,2023,22.5,8.9,0.313,4.13,0.237,27.1,87.6,7.3,142.1,41,626
"Freeland, Kyle",607536,2023,13.9,6.2,0.364,5.81,0.29,17.2,90.2,8.7,155.2,29,677
"Hill, Rich",448179,2023,19.5,8.8,0.357,5.55,0.275,19.3,89.4,10.1,146.1,32,660
"France, J.P.",641585,2023,17.4,8.1,0.34,4.96,0.264,21.9,89.6,8.1,136.1,24,581
"Maeda, Kenta",628317,2023,27.3,6.5,0.3,3.77,0.228,28.2,90.4,8.2,104.1,21,428
"Allen, Logan",671106,2023,22.2,8.9,0.325,4.48,0.253,24.0,88.9,7.6,125.1,24,537
"Gausman, Kevin",592332,2023,31.1,7.2,0.303,3.85,0.231,28.9,89.4,9.9,185.0,31,763
"Bassitt, Chris",605135,2023,22.5,7.1,0.31,4.04,0.238,21.9,87.5,8.3,200.0,33,826
"Wainwright, Adam",425794,2023,11.4,8.5,0.399,7.26,0.32,13.1,89.0,11.1,101.0,21,484
