"last_name, first_name",player_id,year,k_percent,bb_percent,xwoba,xera,xba,whiff_percent,exit_velocity_avg,barrel_batted_rate,p_formatted_ip,p_game,pa
"Abbott, Andrew",671096,2024,19.5,8.9,0.312,3.97,0.231,22.6,88.2,9.4,138.0,25,586
"Skubal, Tarik",669373,2024,30.3,4.6,0.258,2.66,0.204,31.9,87.5,6.7,192.0,31,753
"Falter, Bailey",663559,2024,16.5,7.6,0.34,4.8,0.264,19.6,90.1,9.0,142.1,28,589
"Mize, Casey",663554,2024,17.3,6.4,0.338,4.74,0.283,22.0,90.6,7.9,102.1,22,452
"Wacha, Michael",608379,2024,21.2,6.6,0.314,4.02,0.249,23.3,86.9,8.2,166.2,29,685
"Schwellenbach, Spencer",680885,2024,25.4,4.6,0.291,3.42,0.238,27.4,87.6,5.0,123.2,21,500
"Kirby, George",669923,2024,23.0,3.0,0.29,3.39,0.232,24.1,89.0,8.1,191.0,33,778
"Littell, Zack",641793,2024,21.5,4.7,0.326,4.37,0.26,23.1,89.3,9.6,156.1,29,656
"Imanaga, Shota",684007,2024,25.1,4.0,0.288,3.34,0.231,28.3,88.6,8.6,173.1,29,694
"Quintana, Jose",500779,2024,18.8,8.8,0.33,4.49,0.254,22.2,88.0,6.7,170.1,31,717
"Hendricks, Kyle",543294,2024,15.3,7.6,0.338,4.74,0.273,18.9,85.9,7.4,130.2,29,567
"Stroman, Marcus",573186,2024,16.7,8.9,0.342,4.87,0.268,20.4,89.3,6.8,154.2,30,675
"Cease, Dylan",656302,2024,29.4,8.5,0.286,3.29,0.209,32.4,89.0,8.5,189.1,33,762
"Woods Richardson, Simeon",680573,2024,20.6,8.4,0.315,4.05,0.236,22.3,88.4,8.2,133.2,28,569
"Rea, Colin",607067,2024,18.9,6.0,0.342,4.87,0.269,19.3,90.4,8.8,167.2,32,714
"Bradley, Taj",671737,2024,26.6,8.1,0.318,4.14,0.227,27.4,91.2,10.2,138.0,25,578
