"last_name, first_name",player_id,year,k_percent,bb_percent,xwoba,xera,xba,whiff_percent,exit_velocity_avg,barrel_batted_rate,p_formatted_ip,p_game,pa
"Steele, Justin",657006,2024,24.3,6.7,0.265,2.81,0.212,23.7,86.9,4.2,134.2,24,555
"Fedde, Erick",607200,2024,21.2,7.2,0.309,3.88,0.242,21.6,88.6,7.6,177.1,31,726
"Sale, Chris",519242,2024,32.1,5.6,0.263,2.77,0.211,31.0,86.5,5.6,177.2,29,702
"Wheeler, Zack",554430,2024,28.5,6.6,0.262,2.75,0.194,27.5,86.5,8.3,200.0,32,787
"Ragans, Cole",666142,2024,29.3,8.8,0.284,3.25,0.213,32.0,88.3,6.2,186.1,32,762
"Berríos, José",621244,2024,19.5,6.9,0.336,4.68,0.262,21.1,89.6,7.8,192.1,32,786
"Assad, Javier",665871,2024,19.4,9.9,0.344,4.93,0.258,17.9,89.1,8.8,147.0,29,638
"Kremer, Dean",665152,2024,22.2,9.2,0.331,4.52,0.238,23.3,87.4,9.9,129.2,24,553
"Alexander, Tyler",641302,2024,19.8,5.3,0.335,4.64,0.256,20.1,88.4,9.8,107.2,23,455
"Maeda, Kenta",628317,2024,19.8,6.4,0.325,4.34,0.254,23.9,88.4,8.2,112.1,29,485
"Sears, JP",676664,2024,18.1,6.5,0.328,4.43,0.239,21.8,89.3,10.2,180.2,32,758
"Gallen, Zac",668678,2024,25.1,8.7,0.311,3.94,0.242,26.0,90.0,7.4,148.0,28,621
"Lively, Ben",594902,2024,18.7,7.8,0.314,4.02,0.239,18.6,90.2,6.6,151.0,29,632
"Gore, MacKenzie",669022,2024,24.8,8.9,0.317,4.11,0.249,28.6,88.0,6.8,166.1,32,731
"Pepiot, Ryan",686752,2024,26.3,8.9,0.298,3.59,0.214,29.9,89.3,9.1,130.0,26,539
"Pallante, Andre",669467,2024,18.5,9.4,0.293,3.47,0.231,19.8,87.4,3.4,121.1,29,509
"Waldron, Matt",663362,2024,21.3,6.4,0.316,4.08,0.243,20.8,88.1,7.0,146.2,27,625
"Gil, Luis",661563,2024,26.8,12.1,0.304,3.75,0.205,29.0,89.3,9.5,151.2,29,637
"Skenes, Paul",694973,2024,33.1,6.2,0.25,2.5,0.191,28.7,87.8,5.2,133.0,23,514
"Severino, Luis",622663,2024,21.2,7.9,0.307,3.83,0.239,22.0,87.1,5.7,182.0,31,761
"Blanco, Ronel",669854,2024,24.6,10.1,0.311,3.94,0.224,29.0,88.7,9.4,167.1,30,676
"Hicks, Jordan",663855,2024,20.0,9.8,0.338,4.74,0.251,24.6,89.6,9.5,109.2,29,481
"Bello, Brayan",678394,2024,21.8,9.1,0.33,4.49,0.254,25.9,88.8,7.4,162.1,30,702
"Gilbert, Logan",669302,2024,27.4,4.6,0.276,3.06,0.22,31.7,89.6,7.2,208.2,33,803
"Pfaadt, Brandon",694297,2024,24.3,5.5,0.303,3.72,0.243,25.4,89.4,8.2,181.2,32,760
"Myers, Tobias",668964,2024,22.3,6.3,0.317,4.11,0.248,21.3,89.8,8.0,138.0,27,569
"Castillo, Luis",622491,2024,24.3,6.5,0.313,3.99,0.243,25.9,89.7,8.5,175.1,30,719
"Quantrill, Cal",615698,2024,16.8,10.5,0.355,5.3,0.271,21.6,89.1,7.4,148.1,29,656
"Heaney, Andrew",571760,2024,22.9,5.9,0.328,4.43,0.251,26.3,89.6,8.4,160.0,32,693
"Feltner, Ryan",663372,2024,19.9,7.5,0.326,4.37,0.254,23.9,88.1,6.5,162.1,30,692
"Peterson, David",656849,2024,19.8,9.0,0.333,4.58,0.259,25.6,89.3,7.3,121.0,21,510
"Eflin, Zach",621107,2024,19.6,3.5,0.303,3.72,0.247,21.6,88.1,7.5,165.1,28,684
"Houck, Tanner",656557,2024,20.7,6.5,0.318,4.14,0.255,22.6,89.4,5.8,178.2,30,743
"Corbin, Patrick",571578,2024,18.2,7.1,0.359,5.44,0.291,22.4,90.8,8.3,174.2,32,764
"Woo, Bryan",693433,2024,21.4,2.8,0.263,2.77,0.22,23.6,88.8,4.8,121.1,22,472
"López, Reynaldo",625643,2024,27.3,7.7,0.31,3.91,0.238,27.5,89.8,8.8,135.2,26,543
"Suarez, Ranger",624133,2024,23.2,6.5,0.3,3.64,0.247,21.9,86.9,5.1,150.2,27,626
"Mikolas, Miles",571945,2024,16.9,3.5,0.334,4.61,0.273,16.4,88.8,8.1,171.2,32,720
"Pivetta, Nick",601713,2024,28.9,6.1,0.292,3.44,0.217,25.6,89.4,10.2,145.2,27,595
"Irvin, Cole",608344,2024,15.9,5.9,0.366,5.7,0.285,17.0,89.9,12.7,111.0,29,492
"Crochet, Garrett",676979,2024,35.1,5.5,0.266,2.83,0.201,33.1,88.3,9.2,146.0,32,595
"Nola, Aaron",605400,2024,24.0,6.1,0.304,3.75,0.242,25.2,88.5,7.2,199.1,33,820
"Flaherty, Jack",656427,2024,29.9,5.9,0.296,3.54,0.232,32.1,88.4,8.0,162.0,28,649
"Brown, Hunter",686613,2024,25.1,8.4,0.286,3.29,0.223,25.1,86.2,4.5,170.0,31,712
"Wilson, Bryse",669060,2024,18.6,7.0,0.354,5.27,0.275,20.8,89.7,9.2,104.2,34,442
"Harrison, Kyle",690986,2024,22.2,7.9,0.341,4.84,0.254,23.6,90.7,10.1,124.1,24,532
"Gray, Sonny",543243,2024,30.3,5.8,0.3,3.64,0.235,29.8,89.6,9.0,166.1,28,671
"Keller, Mitch",656605,2024,21.5,6.5,0.321,4.22,0.246,21.5,88.8,7.2,178.0,31,773
"Cortes, Nestor",641482,2024,22.8,5.5,0.298,3.59,0.233,24.2,89.7,7.9,174.1,31,710
"Francis, Bowden",670102,2024,22.5,5.4,0.29,3.39,0.217,21.2,89.1,8.7,103.2,27,408
"Sánchez, Cristopher",650911,2024,20.3,5.8,0.298,3.59,0.255,24.3,87.4,5.4,181.2,31,754
"Soriano, José",667755,2024,20.7,9.6,0.319,4.16,0.239,23.7,89.9,6.7,113.0,22,468
"Valdez, Framber",664285,2024,24.0,7.8,0.291,3.42,0.232,27.2,90.2,5.3,176.1,28,703
"Martinez, Nick",607259,2024,20.4,3.2,0.282,3.2,0.242,23.1,86.4,5.1,142.1,42,570
"Lynn, Lance",458681,2024,21.3,8.6,0.342,4.87,0.257,24.1,88.9,10.5,117.1,23,511
"Bassitt, Chris",605135,2024,22.2,9.2,0.33,4.49,0.254,21.7,87.8,7.5,171.0,31,758
"Glasnow, Tyler",607192,2024,32.2,6.7,0.257,2.64,0.193,30.9,89.0,8.5,134.0,22,522
"Spence, Mitch",687765,2024,19.4,6.8,0.318,4.14,0.248,22.5,89.5,8.4,151.1,35,651
"Ryan, Joe",657746,2024,27.3,4.3,0.268,2.88,0.206,26.6,88.3,8.6,135.0,23,538
"Snell, Blake",605483,2024,34.7,10.5,0.252,2.54,0.177,37.7,86.5,5.7,104.0,20,418
"Ureña, José",570632,2024,15.1,8.4,0.327,4.4,0.256,23.1,89.0,7.7,109.0,33,463
"Civale, Aaron",650644,2024,21.6,7.5,0.315,4.05,0.241,21.9,89.4,7.3,161.0,31,689
"Eovaldi, Nathan",543135,2024,23.9,6.0,0.309,3.88,0.243,26.8,89.3,7.7,170.2,29,696
"Ober, Bailey",641927,2024,26.9,6.1,0.284,3.25,0.209,29.0,87.5,8.3,178.2,31,709
"Paxton, James",572020,2024,16.7,11.4,0.338,4.74,0.252,21.1,90.5,8.0,100.1,21,437
"López, Pablo",641154,2024,25.6,5.3,0.302,3.7,0.237,27.0,87.9,8.2,185.1,32,772
"Miller, Bryce",682243,2024,24.3,6.4,0.301,3.67,0.226,24.4,90.3,9.8,180.1,31,704
"Fried, Max",608331,2024,23.2,8.0,0.304,3.75,0.245,24.1,86.3,5.0,174.1,29,714
"Morton, Charlie",450203,2024,23.8,9.3,0.331,4.52,0.242,26.1,88.7,9.3,165.1,30,701
"Gausman, Kevin",592332,2024,21.4,7.4,0.336,4.68,0.253,23.4,90.2,9.9,181.0,31,756
"Flexen, Chris",623167,2024,17.4,8.9,0.339,4.77,0.256,22.7,88.7,8.1,160.0,33,707
"Nelson, Ryne",669194,2024,20.0,5.4,0.316,4.08,0.262,18.2,90.1,7.5,150.2,28,630
"Suárez, Albert",544150,2024,19.1,7.6,0.316,4.08,0.241,24.6,88.8,7.1,133.2,32,565
"Rodón, Carlos",607074,2024,26.5,7.7,0.316,4.08,0.224,30.1,90.4,11.0,175.0,32,736
"Crawford, Kutter",676710,2024,23.1,6.7,0.307,3.83,0.222,25.3,88.4,9.9,183.2,33,759
"Burnes, Corbin",669203,2024,23.1,6.1,0.286,3.29,0.229,28.6,87.5,6.7,194.1,32,784
"Pérez, Martín",527048,2024,18.1,8.3,0.359,5.44,0.274,21.0,89.0,8.6,135.0,26,590
"Anderson, Tyler",542881,2024,18.6,9.5,0.326,4.37,0.244,27.8,87.2,7.9,179.1,31,765
"Lugo, Seth",607625,2024,21.7,5.7,0.304,3.75,0.24,22.5,88.5,8.0,206.2,33,836
"Greene, Hunter",668881,2024,27.7,9.3,0.275,3.03,0.188,29.7,87.3,5.2,150.1,26,611
"Irvin, Jake",663623,2024,20.3,6.8,0.323,4.28,0.248,22.3,88.8,9.2,187.2,33,769
"Stone, Gavin",694813,2024,20.0,6.4,0.312,3.97,0.252,24.7,88.2,6.4,140.1,25,580
"Olson, Reese",681857,2024,21.7,7.1,0.299,3.62,0.245,28.7,90.2,5.5,112.1,22,465
"Canning, Griffin",656288,2024,17.6,8.9,0.338,4.74,0.257,24.5,90.5,8.6,171.2,32,739
"Montas, Frankie",593423,2024,22.6,10.1,0.336,4.68,0.244,24.9,89.3,9.3,150.2,30,655
"Montgomery, Jordan",656756,2024,15.6,8.3,0.35,5.13,0.284,26.9,88.6,6.0,117.0,25,532
"Parker, Mitchell",680730,2024,20.6,6.7,0.326,4.37,0.255,22.3,89.6,8.2,151.0,29,646
"Marsh, Alec",679525,2024,22.4,7.1,0.343,4.9,0.261,23.5,89.7,9.7,129.0,26,548
"Singer, Brady",663903,2024,22.3,7.1,0.336,4.68,0.265,25.1,88.9,8.0,179.2,32,762
"Lodolo, Nick",666157,2024,24.7,7.5,0.301,3.67,0.223,28.1,89.2,8.2,115.1,21,493
"Webb, Logan",657277,2024,20.5,5.9,0.325,4.34,0.27,20.8,89.8,7.0,204.2,33,841
"Freeland, Kyle",607536,2024,17.3,5.3,0.345,4.97,0.274,17.1,90.3,10.6,113.1,21,490
"Taillon, Jameson",592791,2024,18.5,4.9,0.314,4.02,0.254,19.5,89.7,7.2,165.1,28,675
"King, Michael",650633,2024,27.7,8.7,0.295,3.52,0.223,29.3,85.7,6.2,173.2,31,726
"Carrasco, Carlos",471911,2024,19.9,7.4,0.335,4.64,0.257,22.7,89.3,8.2,103.2,21,447
"Cannon, Jonathan",686563,2024,17.4,7.7,0.328,4.43,0.256,21.8,89.0,7.3,124.1,23,522
"Rogers, Trevor",669432,2024,17.3,10.0,0.349,5.1,0.271,20.9,90.7,8.4,124.1,25,562
"Manaea, Sean",640455,2024,24.9,8.5,0.304,3.75,0.224,26.1,88.6,7.5,181.2,32,738
"Gibson, Kyle",502043,2024,20.9,9.4,0.34,4.8,0.259,25.9,88.2,9.3,169.2,30,722
"Lorenzen, Michael",547179,2024,18.1,11.0,0.332,4.55,0.24,22.8,88.5,8.1,130.1,26,535
"Gray, Jon",592351,2024,19.6,6.4,0.332,4.55,0.272,23.8,90.5,8.7,102.2,23,439
"Bibee, Tanner",676440,2024,26.3,6.2,0.304,3.75,0.235,26.9,88.4,7.0,173.2,31,710
"Rodriguez, Grayson",680570,2024,26.5,7.3,0.303,3.72,0.229,30.0,89.2,7.8,116.2,20,491
"Gomber, Austin",596295,2024,16.7,5.5,0.35,5.13,0.275,19.9,90.2,9.6,165.0,30,696
"Jones, Jared",683003,2024,26.2,7.7,0.312,3.97,0.229,30.2,89.6,9.8,121.2,22,504
"Kikuchi, Yusei",579328,2024,28.0,6.0,0.301,3.67,0.235,29.0,90.1,9.7,175.2,32,736
"Ortiz, Luis",682847,2024,19.2,7.6,0.324,4.31,0.238,21.0,89.0,8.8,135.2,37,556
"Peralta, Freddy",642547,2024,27.6,9.4,0.307,3.83,0.221,31.1,87.6,8.7,173.2,32,725
"Arrighetti, Spencer",681293,2024,27.1,10.3,0.314,4.02,0.227,27.7,88.9,7.7,145.0,29,632
"Estes, Joey",683155,2024,16.9,5.0,0.328,4.43,0.243,19.2,89.5,9.7,127.2,25,543
