retrieved_utc,source_url,rows
2026-08-17T08:48:02.697137+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-05&endDate=2025-06-14&gameTypes=R (chunk 3),25
2026-08-17T08:49:07.694446+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-05&endDate=2025-06-14&gameTypes=R (chunk 4),25
2026-08-17T08:49:44.008220+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-05&endDate=2025-06-14&gameTypes=R (chunk 5),12
2026-08-17T09:04:09.178903+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-15&endDate=2025-06-24&gameTypes=R (chunk 0),24
2026-08-17T09:04:50.771032+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-15&endDate=2025-06-24&gameTypes=R (chunk 1),25
2026-08-17T09:05:57.562822+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-15&endDate=2025-06-24&gameTypes=R (chunk 2),23
2026-08-17T09:06:57.506599+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-15&endDate=2025-06-24&gameTypes=R (chunk 3),24
2026-08-17T09:07:23.426859+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-15&endDate=2025-06-24&gameTypes=R (chunk 4),25
2026-08-17T09:08:05.875044+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-15&endDate=2025-06-24&gameTypes=R (chunk 5),13
2026-08-17T09:09:30.127918+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-25&endDate=2025-07-04&gameTypes=R (chunk 0),24
2026-08-17T09:10:24.896836+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-25&endDate=2025-07-04&gameTypes=R (chunk 1),25
2026-08-17T09:11:15.052837+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-25&endDate=2025-07-04&gameTypes=R (chunk 2),25
2026-08-17T09:11:44.038473+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-25&endDate=2025-07-04&gameTypes=R (chunk 3),22
2026-08-17T09:12:48.372372+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-25&endDate=2025-07-04&gameTypes=R (chunk 4),24
2026-08-17T09:13:42.427867+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-06-25&endDate=2025-07-04&gameTypes=R (chunk 5),12
2026-08-17T09:15:24.951681+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-05&endDate=2025-07-14&gameTypes=R (chunk 0),24
2026-08-17T09:15:52.011066+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-05&endDate=2025-07-14&gameTypes=R (chunk 1),25
2026-08-17T09:16:36.783183+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-05&endDate=2025-07-14&gameTypes=R (chunk 2),24
2026-08-17T09:17:22.747993+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-05&endDate=2025-07-14&gameTypes=R (chunk 3),24
2026-08-17T09:18:10.233724+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-05&endDate=2025-07-14&gameTypes=R (chunk 4),25
2026-08-17T09:18:31.101542+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-05&endDate=2025-07-14&gameTypes=R (chunk 5),3
2026-08-17T09:19:34.205944+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-15&endDate=2025-07-24&gameTypes=R (chunk 0),24
2026-08-17T09:20:28.793511+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-15&endDate=2025-07-24&gameTypes=R (chunk 1),25
2026-08-17T09:21:18.317859+00:00,https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2025-07-15&endDate=2025-07-24&gameTypes=R (chunk 2),25
